DateTime,Calsada,Bato,Buhi,Ombao,Camaligan,Balongay,Sipocot
2024-10-25 05,2.73,NaN,2.06,7.42,2.74,NaN,1.51 
2024-10-25 06,2.69,NaN,2.04,7.39,2.72,NaN,1.47 
2024-10-25 07,2.65,NaN,2.01,7.37,2.71,NaN,1.45 
2024-10-25 08,2.62,NaN,1.99,7.34,2.69,NaN,1.41 
2024-10-25 09,2.58,NaN,1.97,7.32,2.68,NaN,1.37 
2024-10-25 10,2.57,NaN,1.95,7.30,2.67,NaN,1.33 
2024-10-25 11,2.53,NaN,1.92,7.27,2.65,NaN,1.30 
2024-10-25 12,2.49,NaN,1.90,7.24,2.64,NaN,1.25 
2024-10-25 13,2.48,NaN,1.88,7.22,2.63,NaN,1.20 
2024-10-25 14,2.45,NaN,1.86,7.19,2.61,NaN,1.16 
2024-10-25 15,2.43,NaN,1.84,7.17,2.60,NaN,1.12 
2024-10-25 16,2.41,NaN,1.82,7.14,2.59,NaN,1.08 
2024-10-25 17,2.38,NaN,1.79,7.12,2.57,NaN,1.04 
2024-10-25 18,2.35,NaN,1.77,7.09,2.56,NaN,1.00 
2024-10-25 19,2.34,NaN,1.76,7.07,2.54,NaN,0.96 
2024-10-25 20,2.32,NaN,1.74,7.05,2.52,NaN,0.93 
2024-10-25 21,2.29,NaN,1.71,7.02,2.50,NaN,0.90 
2024-10-25 22,2.29,NaN,1.70,7.00,2.49,NaN,0.87 
2024-10-25 23,2.27,NaN,1.68,6.97,2.47,NaN,0.85 
2024-10-26 00,2.26,NaN,1.66,6.95,2.46,NaN,0.82 
2024-10-26 01,2.26,NaN,1.64,6.93,2.44,NaN,0.80 
2024-10-26 02,2.27,NaN,1.62,6.90,2.42,NaN,0.78 
2024-10-26 03,2.25,NaN,1.61,6.88,2.41,NaN,0.76 
2024-10-26 04,2.22,NaN,1.59,6.85,2.39,NaN,0.74 
2024-10-26 05,2.21,NaN,1.57,6.83,2.38,NaN,0.73 
2024-10-26 06,2.20,NaN,1.56,6.81,2.36,NaN,0.71 
2024-10-26 07,2.19,NaN,1.54,6.79,2.35,NaN,0.69 
2024-10-26 08,2.17,NaN,1.51,6.75,2.31,NaN,0.67 
2024-10-26 09,2.17,NaN,1.51,6.75,2.31,NaN,0.67 
2024-10-26 10,2.16,NaN,1.49,6.72,2.29,NaN,0.65 
2024-10-26 11,2.13,NaN,1.48,6.70,2.28,NaN,0.61 
2024-10-26 12,2.13,NaN,1.46,6.68,2.26,NaN,0.63 
